"In the third circuit, how do courts calculate rent on a triple net lease?","Section 502(b)(6) caps a landlord's claim in bankruptcy for damages resulting from the termination of a real property lease.16 Under § 502(b)(6), a landlord-creditor is entitled to rent reserved from the greater of (1) one lease year or (2) fifteen percent, not to exceed three years, of the remaining lease term. The cap operates from the earlier of the petition filing date or ""the date on which [the] lessor repossessed or the lessee surrendered, the leased property."" The landlord also retains a claim for any unpaid rent due under such lease prior to the earlier of those dates. This language reflects Congress's intent to limit lease termination claims to prevent landlords from receiving a windfall over other creditors. See H.R.Rep. No. 95-595, at 353 (1977), reprinted in 1978 U.S.C.C.A.N. 5963, 6309 (""[The cap] limits the damages allowable to a landlord of the debtor.... It is designed to compensate the landlord for his loss while not permitting a claim so large (based on a long-term lease) as to prevent other general unsecured creditors from recovering a dividend from the estate. The damages a landlord may assert from termination of a lease are limited....""); 4 Collier on Bankruptcy, § 502.03 at 7a (""[The cap is] designed to compensate the landlord for his loss while not permitting a claim so large as to prevent other general unsecured creditors from recovering a dividend from the estate."")"
"Is allowing the preference period to expire a fraudulent transfer in bankruptcy?","(a)(1) The trustee may avoid any transfer (including any transfer to or for the benefit of an insider under an employment contract) of an interest of the debtor in property, or any obligation (including any obligation to or for the benefit of an insider under an employment contract) incurred by the debtor, that was made or incurred on or within 2 years before the date of the filing of the petition, if the debtor voluntarily or involuntarily—  (A) made such transfer or incurred such obligation with actual intent to hinder, delay, or defraud any entity to which the debtor was or became, on or after the date that such transfer was made or such obligation was incurred, indebted; or  (B)(i) received less than a reasonably equivalent value in exchange for such transfer or obligation; and  (ii)(I) was insolvent on the date that such transfer was made or such obligation was incurred, or became insolvent as a result of such transfer or obligation;  (II) was engaged in business or a transaction, or was about to engage in business or a transaction, for which any property remaining with the debtor was an unreasonably small capital;  (III) intended to incur, or believed that the debtor would incur, debts that would be beyond the debtor's ability to pay as such debts matured; or  (IV) made such transfer to or for the benefit of an insider, or incurred such obligation to or for the benefit of an insider, under an employment contract and not in the ordinary course of business."
"Does bankruptcy code section 362(k) apply to corporate debtors in the 9th Circuit?","[Footnote-7] An individual injured by a willful stay violation may seek relief under § 362(k)(1), which provides for recovery of ""actual damages, including costs and attorneys' fees, and, in appropriate circumstances,... punitive damages."" ""Individual"" in this context does not include corporations or other business entities. Johnston Envtl. Corp. v. Knight (In re Goodman), 991 F.2d 613, 618-19 (9th Cir. 1993) (analyzing ""individual"" under § 362(k)(1)'s predecessor, § 362(h)). Because the Debtor is an LLC, it cannot invoke § 362(k)(1) as a remedy for Creditors stay violation."
"Is intellectual property subject to sale or auction in bankruptcy filings?","Business Justification. ODC has articulated sufficient and sound business reasons for entering into the Agreement and consummating the Sale Transaction outside a plan of reorganization. It is a reasonable exercise of ODC’s business judgment to consummate the Sale Transaction. J. Best Interests. Approval of the Agreement and the consummation of the Sale Transaction are in the best interests of ODC, its estate and creditors, and other parties-in interest under applicable bankruptcy and nonbankruptcy law. K. Highest or Otherwise Best. The Purchaser’s bid for the Acquired Intellectual Property, as memorialized in the Agreement, is the highest or otherwise best offer received for the Intellectual Property and will provide a greater recovery for ODC’s creditors than would be provided by any other practical available alternative. The purchase price to be paid by the Purchaser pursuant to the Agreement is fair consideration and constitutes reasonably equivalent value under applicable bankruptcy and nonbankruptcy law for the Acquired Intellectual Property, as determined by the marketing and auction process. L. Arm’s-Length Transaction. The Agreement was negotiated, proposed and entered into by ODC and the Purchaser without collusion, in good faith and from arm’s-length bargaining positions. Although the Purchaser is an “insider” of ODC under section 101(31) of the Bankruptcy Code, neither ODC nor the Purchaser have engaged in any conduct that would cause or permit the Agreement to be avoided or be the basis for an award for monetary damages under Bankruptcy Code section 363(n). Specifically, the Purchaser has not acted in a collusive manner with any person and the purchase price was not controlled by any Agreement among bidders. M. Good Faith. All of the actions taken by the Purchaser and its officers, directors, employees, counsel and other professionals in connection with the Agreement, the auction process and this proceeding have been taken in good faith. The Purchaser is a good faith purchaser of the Acquired Intellectual Property within the meaning of Bankruptcy Code section 363(m) and is entitled to all of the protections afforded thereby. The Purchaser proceeded in good faith in all respects in connection with the Sale Transaction in that: (i) the Purchaser recognized that ODC was free to deal with any other party interested in acquiring the Acquired Intellectual Property; (iii) the Purchaser complied with the provisions in the Bidding Procedures Order; (iv) the Purchaser agreed to subject its bid to the competitive bidding procedures set forth in the Bidding Procedures Order; and (v) all payments to be made by the Purchaser pursuant to the Agreement in connection with the Sale Transaction have been disclosed."
"What is the standard for recharacterizing a sale-leaseback transaction of real property in the third circuit?","A threshold problem confronting us is the standard of review. Sunray asserts that the Tax Court based its decision on findings of fact, which included a finding as to the parties' intent, and that these findings are binding upon us unless clearly erroneous. The record in the instant case, however, rests substantially on an indisputed record, consisting principally of stipulations of the underlying facts and appended exhibits, including the leases at issue. The basic rights, duties, and economic interests of the parties are essentially not in dispute. The dispute centers around the characterization for income tax purposes of the letter and lease agreements. The oral testimony offered by each of the parties was either expert testimony interpreting the documents or background testimony of some of the principals pertaining to the negotiations and their views of the transaction. In [Citation omitted], we held the ""interpretation and construction of a contract is a question of law and that the interpretation by the Tax Court is reviewable by this court."" Of course, the subjective intent of the parties may be a consideration in interpreting an agreement where the documents are ambiguous or incomplete and, in such circumstances, the court's determination of the unexplained subjective intent is a finding of fact. When, however, the documents embodying the transaction are clear and complete, ""the court is called upon to interpret the documents, and from their substance, to characterize the transaction for tax purposes as a matter of law."" [Citation omitted]. Regardless of whether the parties honestly believe the transaction to be a lease, where the documents they have executed fully embody the elements of their bargain it is the documents themselves, not the parties' conceptions of them, which must govern the legal characterization of the transaction. See [Citation omitted]. We view the question here as essentially legal, not factual, and fully reviewable by this court. [Citation omitted]. IV. In the usual mortgage transaction between a debtor and creditor, the funds advanced to the debtor are secured by a lien on his property. The debtor agrees to repay the funds over a fixed term together with specified interest for their use; generally, the ownership of property does not change hands. The usual business bargain between a commercial lessor and lessee is far more complex. Real estate interests between a lessor and lessee normally are divided into a number of parts, each of which represents an ownership interest in property. In order to sort out these interests, the following pragmatic approach has recently been suggested: If the characterization for federal income tax law purposes of the interests of a lessor and a lessee is to be determined in a manner consistent with business realities, the inquiry must change from ""Who is the owner of the property for tax purposes?"" to ""Are the ownership interests of lessor and lessee as characterized by the parties consistent with traditional substantive business bargains between lessors and lessees?"" Rosenberg & Weinstein, Sale-Leasebacks: An Analysis of These Transactions After The Lyon Decision, 45 J. of Tax, 146, 148 (1976). In the instant case, the actual conveyance to the Trust of title to the properties and the fair market value of the prices assigned to them does not appear to be an issue. Although Sunray argues that the presence of fair market value as a consideration for the transfer distinguishes the instant case from [Citation omitted]; and [Citation omitted], we doubt that this is a controlling consideration.  We deem much more significant the relationships of the parties after the transfer of the properties as a result of the burdens, benefits, and risks imposed on each of them by the terms and conditions of their lease agreements. In determining whether the sale-leaseback transactions in the instant case created the traditionally bargained for business relationships between owner and lessee or whether Sunray in fact retained an equity in the real estate despite the conveyances, we look to the economic realities of the leases and not to the labels applied by the parties. In [Citation omitted], the taxpayer claimed depreciation on three buildings in which it operated a department store, the legal title to two of which and the assignment of a 99 year lease to the third it had transferred to a bank as trustee for certain land trust-certificate holders. The trustee had at the same time leased all three back to the taxpayer for 99 years with options to renew and purchase. The taxpayer claimed depreciation as a deduction because it bore the capital loss from wear, tear, and exhaustion of the buildings. The Commissioner disallowed the deduction on the ground that the statutory right to depreciation follows legal title. The Court of Tax Appeals, however, allowed the deduction, concluding that the transaction between the taxpayer and the trustee bank was in reality a mortgage loan; that the conveyance of title to the bank was actually given merely as security for a loan and that the ""rent"" stipulated in the leaseback was intended as a promise to pay an agreed 5 percent interest on the loan. The circuit and Supreme Courts affirmed, the Supreme Court noting that in the field of taxation the courts are ""concerned with substance and realities, and formal written documents are not rigidly binding.""[Citation omitted]."
"Is it a fraudulent conveyance to delay filing a bankruptcy petition until after 90 days to insulate creditor from preference liability?","The New York Debtor and Creditor Law applies a standard for constructive fraud that is generally similar to that in section 548 of the Bankruptcy Code, but with subtle differences. Much like the provisions of 11 U.S.C. § 548(a)(1)(B)(ii)(I), for example, Debtor and Creditor Law § 273 states that “[e]very conveyance made ... by a person who is or will be thereby rendered insolvent is fraudulent as to creditors without regard to his actual intent if the conveyance is made ... without a fair consideration.” However, an important distinction involves the concept of consideration. To avoid a constructively fraudulent transfer under section 548 of the Bankruptcy Code, a trustee must show that the debtor “received less than a reasonably equivalent value in exchange for such transfer.” 11 U.S.C. § 548(a)(1)(B)(i). On the other hand, to establish a fraudulent conveyance under any of the constructive fraud provisions of the New York State statute (Debtor and Creditor Law §§ 273, 273–a, 274 and 275), the trustee needs only to demonstrate the absence of “a fair consideration.” As defined by Debtor and Creditor Law § 272(a), fair consideration requires not only an exchange for fair equivalent or proportionate value, but also that the transfer be “in good faith.” Even when a debtor receives equivalent value for his transfer, therefore, New York law will allow a bankruptcy trustee to avoid a constructively fraudulent transfer that is made other than in good faith. Here again, the parties have stipulated to Northstar's insolvency at the time of nearly all of the payments to Buchheit. As consideration for these payments, Buchheit cancelled an identical amount of indebtedness. Still, with any absence of good faith, the New York Debtor and Creditor Law presumes an absence of fair consideration and will allow the trustee to avoid the transaction. As a general rule in New York for purposes of fraudulent conveyance law, the payment of an unsecured debt to an insider is deemed to be without good faith, and therefore lacking in fair consideration. In [Citation omitted], the Court of Appeals affirmed a judgment avoiding this kind of fraudulent conveyance, “for the reasons stated in the opinion by Justice Moses M. Weinstein.” Writing for a unanimous panel of the Appellate Division, Justice Weinstein held “that preferential transfers to directors, officers and shareholders of insolvent corporations in derogation of the rights of general creditors do not fulfill the good-faith requirement of the Debtor and Creditor Law.” [Citation omitted]. Consequently, “[t]he shareholders cannot be considered bona fide purchasers for fair consideration who are immune from liability as transferees of fraudulently conveyed property, as the record reveals that they were aware that they were receiving money from [the debtor] when the claims of the general creditors had not been completely paid and, in fact, they consented to such a distribution of the corporate funds.” [Citation omitted]. Presumably in recognition of the holdings in [Citation omitted] and in other similar cases, the defendant's counsel recommended that Buchheit return the various payments that he had received on account of unsecured obligations."
"Can an insider purchase the debt of a bankrupt company?","The Bankruptcy Court held that CVC's intention was to benefit from its position as a director of Papercraft by purchasing claims at a discount. The Bankruptcy Court concluded that CVC had not carried out its ""fiduciary obligation to act in the best interest of Papercraft and its estate because it had purchased claims without first providing Papercraft with the opportunity to make the purchases.""         The Bankruptcy Court noted further that CVC's conduct had resulted in at least three adverse effects. First, the selling noteholders would have received a total distribution of $15,989,676.56 under the plan rather than the amount paid by CVC of $10,553,541.88 if they had decided not to sell after full disclosure by CVC. Although the noteholders may have still elected to sell after full disclosure, the harm lies in the fact that they ""were deprived of the ability to make a fully informed decision concerning the sale of their claims.""          Second, ""CVC's actions diluted the voting rights of prepetition creditors and resulted in CVC's attempt to wrest from the prepetition creditors the valuable assets of Papercraft."" The Bankruptcy Court pointed out that without full disclosure the market for claims suffers as an efficient market requires that both buyers and sellers have access to information so that all parties to the transaction can be adequately informed. Also, ""because only the name of the transferee of record need be disclosed, parties in interest will be unable to ascertain who the real claims buyer is and the intentions of that claims buyer with respect to the control of a debtor.""          Lastly, CVC actions created a conflict of interest which jeopardized its ability ""to make future decisions of claims as a director free of its own personal interests as an owner of claims. Adding to the conflict is the fact these purchases were made at a discount from present value. This brings into play a profit motive, accentuating its personal interests.""[Citation Omitted].         As a result, the Bankruptcy Court created and applied a per se rule which prohibits a debtor's insiders from purchasing claims against it without disclosing their identity and relationship with the debtor. The Court held that when claims are purchased by insiders without making such disclosures to the debtor and creditors, ""the insider's newly acquired claim will be limited to the amount paid by the acquiring insider and recovery on the claim will be limited to the percentage distribution provided in the plan, as applied to the allowed claim The Bankruptcy Court concluded that the ""unfairness caused by CVC's conduct would not be adequately addressed absent application of a per se rule."""
"Can a non-filed claim be used in connection with a preference claim defense?","(a) A claim or interest, proof of which is filed under section 501 of this title, is deemed allowed, unless a party in interest, including a creditor of a general partner in a partnership that is a debtor in a case under chapter 7 of this title, objects."
"Is there any value in a time-barred unsecured claim?","(f)  Unfair practices -  A debt collector may not use unfair or unconscionable means to collect  foregoing, the following conduct is a violation of this section: (1)The collection of any amount (including any interest, fee, charge, or expense incidental to the principal obligation) unless such amount is expressly authorized by the agreement creating the debt or permitted by law. (2)The acceptance by a debt collector from any person of a check or other payment instrument postdated by more than five days unless such person is notified in writing of the debt collector’s intent to deposit such check or instrument not more than ten nor less than three business days prior to such deposit. (3)The solicitation by a debt collector of any postdated check or other postdated payment instrument for the purpose of threatening or instituting criminal prosecution. (4)Depositing or threatening to deposit any postdated check or other postdated payment instrument prior to the date on such check or instrument. (5)Causing charges to be made to any person for communications by concealment of the true purpose of the communication. Such charges include, but are not limited to, collect telephone calls and telegram fees. (6)Taking or threatening to take any nonjudicial action to effect dispossession or disablement of property if— (A)there is no present right to possession of the property claimed as collateral through an enforceable security interest; (B)there is no present intention to take possession of the property; or (C)the property is exempt by law from such dispossession or disablement. (7)Communicating with a consumer regarding a debt by post card. (8)Using any language or symbol, other than the debt collector’s address, on any envelope when communicating with a consumer by use of the mails or by telegram, except that a debt collector may use his business name if such name does not indicate that he is in the debt collection business."
"Can a time-barred unsecured claim be used against preference?","This court rejects extending the FDCPA to time-barred proofs of claim. An accurate and complete proof of claim on a time-barred debt is not false, deceptive, misleading, unfair, or unconscionable under the FDCPA. The district court properly dismissed for failure to state a claim."
